               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 108,            0.024692,            0.008235,            0.013329,             0.97548,             0.97945,             0.98272,             0.76409,            0.014386,           0.0029049,           0.0019829,            0.006469,            0.006469,            0.006469
                 109,            0.024947,           0.0082977,            0.017041,             0.97719,             0.98304,             0.98181,             0.75346,            0.013625,           0.0028633,            0.001877,            0.006436,            0.006436,            0.006436
                 110,            0.021016,           0.0075648,            0.010823,             0.97536,             0.97928,             0.98875,             0.78134,            0.014097,           0.0028492,           0.0017164,            0.006403,            0.006403,            0.006403
                 111,            0.022923,           0.0076477,             0.01447,             0.97929,             0.97563,               0.995,             0.78437,            0.012245,           0.0028175,           0.0020566,             0.00637,             0.00637,             0.00637
                 112,            0.021419,           0.0068682,            0.013991,             0.96876,             0.97561,             0.98474,             0.79593,            0.013251,           0.0027812,           0.0026469,            0.006337,            0.006337,            0.006337
                 113,            0.021549,           0.0074786,              0.0136,             0.96955,             0.98333,             0.98875,             0.80508,            0.012225,           0.0027495,           0.0026012,            0.006304,            0.006304,            0.006304
                 114,            0.022179,           0.0078852,            0.013741,             0.96245,             0.97676,               0.995,             0.77902,            0.013143,           0.0027874,           0.0030154,            0.006271,            0.006271,            0.006271
                 115,            0.021999,           0.0073002,            0.014203,             0.98366,             0.98663,               0.995,             0.74439,            0.013908,           0.0029492,           0.0016732,            0.006238,            0.006238,            0.006238
                 116,            0.023368,           0.0074737,            0.012853,             0.97705,             0.98705,               0.995,             0.78738,            0.012907,           0.0029514,           0.0015741,            0.006205,            0.006205,            0.006205
                 117,            0.019439,           0.0072601,            0.012958,             0.96926,             0.98873,               0.995,             0.77051,            0.014271,           0.0030221,           0.0016376,            0.006172,            0.006172,            0.006172
                 118,            0.022862,           0.0070391,            0.012348,              0.9645,             0.98333,             0.98875,              0.7616,            0.013733,           0.0029991,           0.0020068,            0.006139,            0.006139,            0.006139
                 119,            0.023461,           0.0077009,            0.015072,             0.96486,             0.98109,             0.98102,             0.76937,            0.013296,           0.0028972,            0.002562,            0.006106,            0.006106,            0.006106
                 120,            0.021994,           0.0077422,            0.010301,             0.97504,             0.98333,             0.99222,             0.76554,            0.014198,           0.0029256,           0.0018672,            0.006073,            0.006073,            0.006073
                 121,            0.025936,           0.0083885,            0.015389,             0.97694,             0.98812,               0.995,             0.78409,            0.013088,           0.0029088,           0.0012731,             0.00604,             0.00604,             0.00604
                 122,            0.024101,           0.0075694,            0.015701,             0.97204,              0.9776,               0.995,             0.79569,            0.012766,            0.002947,           0.0014774,            0.006007,            0.006007,            0.006007
                 123,            0.021889,           0.0075305,             0.01215,             0.97259,             0.98374,               0.995,             0.78799,             0.01358,           0.0027786,           0.0013547,            0.005974,            0.005974,            0.005974
                 124,            0.023041,           0.0085875,            0.013848,             0.96986,             0.98618,               0.995,             0.77713,            0.012403,           0.0028191,           0.0015088,            0.005941,            0.005941,            0.005941
                 125,            0.021284,           0.0070467,            0.013884,             0.96577,             0.97678,              0.9825,             0.78301,            0.012094,           0.0028518,           0.0019747,            0.005908,            0.005908,            0.005908
                 126,            0.023027,           0.0083172,            0.011966,             0.97369,             0.97505,             0.98429,             0.77933,            0.011535,           0.0028297,           0.0022081,            0.005875,            0.005875,            0.005875
                 127,            0.022481,           0.0077218,            0.012099,             0.97187,             0.97911,             0.98111,             0.79179,            0.011746,           0.0028099,           0.0024471,            0.005842,            0.005842,            0.005842
                 128,            0.021744,            0.007605,            0.011961,             0.95023,             0.96414,             0.98121,             0.78396,            0.012669,            0.003009,           0.0027045,            0.005809,            0.005809,            0.005809
                 129,            0.025244,            0.008296,            0.011904,             0.97251,             0.97475,              0.9796,              0.7708,             0.01264,           0.0030332,           0.0020996,            0.005776,            0.005776,            0.005776
                 130,            0.022576,           0.0078663,            0.012406,             0.96936,             0.96633,             0.98875,             0.79648,            0.011782,           0.0029141,           0.0023624,            0.005743,            0.005743,            0.005743
                 131,            0.020729,           0.0078646,            0.011838,             0.97155,             0.98103,               0.995,             0.77152,            0.011845,           0.0029892,           0.0019082,             0.00571,             0.00571,             0.00571
                 132,            0.022082,           0.0078045,            0.012252,             0.97464,               0.988,               0.995,             0.78349,            0.012118,           0.0028261,           0.0015701,            0.005677,            0.005677,            0.005677
                 133,             0.02249,           0.0073037,            0.013286,             0.97772,             0.97682,               0.995,              0.8008,            0.011813,           0.0027663,           0.0014965,            0.005644,            0.005644,            0.005644
                 134,            0.023433,           0.0078854,            0.011998,             0.94741,             0.96999,             0.99222,             0.74662,            0.015197,           0.0028632,           0.0025295,            0.005611,            0.005611,            0.005611
                 135,            0.022119,           0.0072124,            0.012475,             0.94661,             0.94537,             0.98468,             0.77807,            0.012468,           0.0027096,            0.003473,            0.005578,            0.005578,            0.005578
                 136,            0.019688,           0.0069894,            0.012259,             0.93943,             0.95997,             0.98204,             0.78597,            0.012563,           0.0026931,           0.0036046,            0.005545,            0.005545,            0.005545
                 137,            0.021741,           0.0071837,            0.011249,             0.98067,             0.98333,             0.98759,             0.77447,            0.012679,           0.0026957,           0.0021382,            0.005512,            0.005512,            0.005512
                 138,            0.019721,           0.0067772,           0.0096918,              0.9795,             0.98648,               0.995,             0.79194,            0.012383,           0.0026963,           0.0018156,            0.005479,            0.005479,            0.005479
                 139,            0.019143,           0.0072259,           0.0087411,             0.98546,               0.985,               0.995,             0.79801,            0.012626,           0.0027742,           0.0014206,            0.005446,            0.005446,            0.005446
                 140,            0.021779,           0.0074878,            0.013707,             0.98291,             0.98645,               0.995,              0.8012,            0.012492,           0.0028216,           0.0013182,            0.005413,            0.005413,            0.005413
                 141,            0.020305,           0.0071577,            0.011382,             0.97721,             0.98333,             0.99222,             0.78426,            0.013011,           0.0029255,           0.0011878,             0.00538,             0.00538,             0.00538
                 142,            0.023385,           0.0081482,             0.01327,             0.97786,             0.98333,             0.97949,             0.76889,            0.012034,           0.0029896,             0.00118,            0.005347,            0.005347,            0.005347
                 143,            0.018469,           0.0073141,           0.0074177,             0.97524,             0.98333,             0.97877,             0.76976,            0.012848,           0.0029725,           0.0012218,            0.005314,            0.005314,            0.005314
                 144,            0.020429,           0.0070757,           0.0083888,             0.97778,             0.98333,             0.97881,             0.78448,            0.012954,           0.0029123,           0.0012099,            0.005281,            0.005281,            0.005281
                 145,            0.019633,            0.007086,           0.0090176,             0.97707,             0.98333,             0.97958,             0.77464,            0.012994,           0.0030242,           0.0011907,            0.005248,            0.005248,            0.005248
                 146,            0.020019,           0.0077106,           0.0090999,             0.98098,             0.98333,             0.97954,             0.77414,            0.012289,           0.0029955,            0.001407,            0.005215,            0.005215,            0.005215
                 147,            0.023332,           0.0069976,           0.0098279,             0.98269,             0.98333,             0.97883,             0.78304,             0.01155,            0.002936,           0.0020661,            0.005182,            0.005182,            0.005182
                 148,            0.018658,           0.0072439,            0.010047,             0.97433,             0.98333,             0.97982,             0.77484,            0.012093,           0.0029415,           0.0017275,            0.005149,            0.005149,            0.005149
